transaction_amount,transaction_time,customer_age,distance_from_home,previous_fraud_history,merchant_risk_score,num_transactions_last_24hrs,account_type,region,transaction_method,fraud_label
169.67,0,33,44.91,0,0.37,4,Savings,North,POS,0
177.23,21,31,39.33,0,0.71,2,Savings,East,Mobile Banking,0
40.78,1,34,15.93,0,0.28,2,Savings,Central,Mobile Banking,0
89.96,17,23,16.08,0,0.6,4,Savings,East,Online,0
81.45,18,52,4.25,0,0.03,1,Savings,East,POS,0
5.31,7,34,26.46,0,0.11,6,Savings,Central,Mobile Banking,0
4.9,2,62,15.02,0,0.36,1,Current,Central,Online,0
356.4,22,55,26.25,0,0.27,7,Savings,Central,Online,0
63.79,13,57,16.09,1,0.35,1,Savings,Central,Mobile Banking,0
145.99,8,74,5.34,0,0.93,3,Business,South,Mobile Banking,0
70.97,7,23,3.15,0,0.07,0,Savings,West,POS,0
564.96,16,65,1.2,0,0.46,6,Current,South,Online,0
60.03,22,55,13.23,0,0.2,8,Current,North,Online,0
112.3,22,66,5.01,1,0.36,2,Savings,South,POS,0
412.29,23,38,14.93,0,0.68,2,Savings,North,Online,0
368.95,15,52,0.91,0,0.97,6,Savings,South,POS,0
41.18,9,40,7.07,0,0.69,4,Savings,North,Online,0
324.55,20,29,4.53,0,0.88,4,Business,West,POS,0
122.57,9,74,6.94,1,0.15,2,Savings,West,Online,0
131.93,23,46,0.84,0,0.18,2,Business,West,Online,0
28.65,5,44,19.32,0,0.88,3,Current,Central,POS,0
16.81,21,23,1.86,0,0.61,1,Current,East,POS,0
260.35,16,38,0.22,0,0.79,0,Savings,North,Mobile Banking,0
137.22,15,24,43.86,0,0.22,1,Savings,North,Mobile Banking,0
114.84,14,60,3.21,0,0.35,4,Current,Central,Online,0
261.5,21,58,26.41,0,0.08,2,Current,West,Online,0
290.07,13,33,50.06,0,0.9,2,Current,North,ATM,0
34.61,3,22,11.46,0,0.96,6,Savings,West,POS,0
188.44,3,32,11.2,0,0.86,8,Savings,West,Online,0
29.09,1,38,6.87,0,0.44,2,Savings,South,Online,0
278.36,10,21,8.32,0,0.34,5,Business,West,POS,0
213.98,3,22,9.87,0,0.46,3,Current,North,POS,0
627.53,20,24,2.47,0,0.64,3,Savings,West,POS,0
14.29,20,52,6.81,0,0.43,6,Savings,West,POS,0
11.75,15,53,25.4,0,0.42,5,Current,East,POS,0
66.31,20,74,3.02,0,0.43,4,Current,West,ATM,0
60.68,3,32,19.63,0,0.74,8,Current,Central,Online,0
56.73,0,45,15.82,0,0.79,4,Savings,West,ATM,0
473.43,23,19,0.89,0,0.87,0,Savings,West,POS,0
57.42,18,73,0.34,0,0.24,5,Savings,East,Online,0
63.48,1,74,6.52,0,0.16,4,Current,Central,POS,0
284.92,8,22,17.67,0,0.35,1,Savings,Central,Online,0
119.47,22,24,6.02,0,0.42,2,Savings,South,Online,0
299.86,12,39,16.53,0,0.7,2,Current,West,Online,0
13.52,17,66,16.42,0,0.76,3,Current,South,Mobile Banking,0
133.72,15,48,24.64,0,0.98,3,Business,North,Online,1
6.84,15,49,1.57,1,0.38,1,Business,North,POS,0
12.94,9,25,12.91,0,0.4,4,Savings,East,Online,0
473.83,8,58,0.97,1,0.54,2,Current,South,ATM,0
29.99,10,59,2.9,0,0.82,0,Savings,North,Online,0
152.04,3,28,5.91,0,0.66,1,Savings,East,POS,0
105.9,9,18,18.43,0,0.57,4,Business,North,Online,0
85.34,2,64,54.67,0,0.65,4,Current,South,Online,0
460.18,5,57,6.29,0,0.46,7,Current,South,POS,0
4.41,2,36,11.05,0,0.76,2,Savings,East,POS,0
218.0,8,61,4.5,0,0.08,7,Savings,South,POS,0
661.51,2,55,16.88,0,0.51,3,Savings,West,POS,0
164.27,17,59,6.85,0,0.81,3,Savings,South,POS,0
552.36,7,73,9.86,0,0.3,3,Current,West,Online,0
10.73,21,54,12.58,1,0.84,2,Savings,Central,Online,1
108.53,7,73,17.39,1,0.78,5,Savings,East,Online,1
60.26,14,24,0.93,0,0.58,7,Savings,East,Online,0
262.48,12,56,12.14,0,0.25,4,Current,North,POS,0
795.82,6,72,8.46,0,0.86,2,Savings,Central,Online,1
59.29,18,42,2.15,0,0.03,2,Current,North,Mobile Banking,0
212.36,7,71,3.5,0,0.59,2,Savings,North,POS,0
44.15,9,39,32.3,1,0.78,3,Current,East,POS,1
166.63,16,44,30.81,0,0.49,1,Current,West,Online,0
124.7,0,58,0.51,0,0.1,0,Savings,North,Online,0
715.15,12,64,17.54,0,0.83,3,Savings,South,ATM,0
187.57,12,55,12.12,0,0.91,2,Current,Central,Online,0
86.0,23,65,42.16,0,0.56,1,Savings,East,Online,0
24.23,15,56,35.79,0,0.79,2,Savings,East,Online,1
32.8,8,32,13.0,0,0.61,2,Current,West,Online,0
51.06,9,72,2.24,0,0.57,2,Savings,Central,POS,0
57.79,5,19,9.24,0,0.13,5,Savings,Central,Online,0
380.25,4,25,19.37,0,0.44,3,Current,Central,ATM,0
164.75,1,61,45.47,0,0.68,4,Business,East,Online,1
148.21,10,60,6.78,0,0.45,1,Current,South,Mobile Banking,0
24.38,8,23,23.03,0,0.62,3,Current,East,ATM,0
393.42,5,37,17.25,0,0.89,0,Current,East,POS,0
256.61,7,44,1.22,0,0.37,2,Savings,East,Online,0
14.01,8,62,12.25,0,0.83,1,Savings,South,Mobile Banking,0
246.09,8,40,3.04,0,0.03,2,Business,East,ATM,0
156.85,7,65,17.26,0,0.85,2,Savings,East,POS,0
17.05,11,57,14.13,0,0.11,3,Business,Central,ATM,0
122.61,7,34,54.21,0,0.32,3,Savings,Central,Online,0
132.6,2,30,41.09,0,0.51,2,Business,West,POS,0
36.25,12,21,0.14,0,0.65,3,Savings,North,POS,0
582.64,18,37,1.25,0,0.95,4,Savings,South,Mobile Banking,0
379.39,1,59,21.99,0,0.31,3,Business,West,Mobile Banking,0
221.14,16,42,17.36,0,0.09,1,Current,East,Online,0
124.09,15,39,24.21,0,0.46,3,Current,East,POS,0
106.13,3,69,4.66,0,0.35,2,Savings,North,Mobile Banking,0
210.52,17,65,28.39,1,0.6,0,Current,Central,Online,0
157.68,13,34,8.76,0,0.92,3,Savings,South,Online,0
12.86,1,57,4.56,0,0.64,3,Business,West,ATM,0
143.69,12,28,0.16,0,0.58,1,Savings,Central,POS,0
328.4,20,42,30.76,1,0.25,3,Current,West,Online,1
122.96,19,22,11.5,0,0.26,3,Savings,North,POS,0
10.67,16,38,55.56,0,0.44,0,Current,West,Mobile Banking,0
308.62,14,43,18.81,0,0.89,1,Savings,West,Online,0
44.97,19,33,1.26,0,0.58,1,Business,Central,Online,0
59.85,4,73,13.31,1,0.49,1,Savings,East,Mobile Banking,0
35.99,6,57,0.26,0,0.54,5,Savings,East,Online,0
80.16,17,38,12.24,0,0.83,3,Current,West,ATM,0
282.73,23,65,6.47,0,0.68,1,Current,West,POS,0
146.54,10,49,15.46,0,0.93,4,Current,North,Online,0
45.85,17,21,11.7,0,0.58,5,Current,South,Online,0
420.47,4,55,4.54,1,0.2,1,Savings,West,ATM,0
423.36,12,70,2.66,0,0.02,2,Current,West,POS,0
408.94,17,25,7.78,0,0.32,0,Current,East,Online,0
54.57,1,26,64.95,0,0.06,0,Current,South,POS,0
120.02,19,62,8.58,0,0.41,5,Savings,North,Mobile Banking,0
839.8,3,34,20.72,0,0.19,5,Savings,West,POS,0
295.69,12,58,0.88,0,0.4,5,Business,East,Online,0
5.51,23,30,7.14,0,0.4,2,Savings,Central,POS,0
13.49,15,26,13.02,0,0.28,3,Current,Central,Online,0
124.7,5,23,20.87,0,0.65,2,Savings,South,POS,0
479.86,7,44,11.27,0,0.43,1,Savings,North,ATM,0
154.74,15,59,10.86,0,0.89,2,Savings,East,Online,0
137.76,12,54,21.65,0,0.08,5,Current,Central,Online,0
22.29,22,56,5.64,0,0.41,2,Business,Central,Online,0
213.88,3,60,1.42,0,0.78,3,Current,West,Online,0
345.31,1,41,6.4,0,0.49,3,Savings,North,Online,0
95.74,8,26,2.6,0,0.97,2,Current,Central,Online,0
298.88,17,74,50.7,0,0.17,0,Savings,North,Online,0
667.51,16,59,12.92,0,0.32,1,Current,Central,POS,0
45.57,7,28,8.88,0,0.12,1,Current,Central,POS,0
148.19,14,52,36.47,0,0.25,1,Savings,Central,POS,0
67.69,8,46,34.59,0,0.67,2,Current,South,ATM,0
314.87,16,25,8.06,0,0.49,4,Current,North,Online,0
172.36,22,34,31.16,0,0.16,0,Savings,South,Mobile Banking,0
201.34,1,24,0.99,0,0.47,3,Savings,East,POS,0
319.81,5,29,32.54,0,0.85,2,Current,East,Online,1
100.83,4,65,5.58,0,0.44,2,Savings,West,Online,0
493.23,16,32,12.49,0,0.01,3,Savings,West,Online,0
152.3,1,70,4.71,0,0.05,2,Savings,South,ATM,0
34.38,17,46,62.8,0,0.44,6,Current,West,Online,0
238.08,9,62,1.12,0,0.59,1,Business,North,Online,0
315.26,9,67,8.88,0,0.89,0,Savings,South,Online,0
76.18,5,67,14.55,0,0.98,1,Savings,South,Mobile Banking,0
389.23,11,41,14.34,0,0.98,4,Savings,South,POS,0
473.2,16,54,20.13,0,0.56,5,Savings,Central,Online,0
64.84,12,31,19.33,0,0.04,4,Savings,South,Mobile Banking,0
821.14,19,28,23.64,0,0.21,2,Savings,West,Online,0
30.33,15,52,4.0,1,0.43,3,Savings,Central,ATM,0
45.13,9,34,6.94,0,0.88,1,Current,East,Mobile Banking,0
40.72,20,72,7.22,0,0.02,2,Current,Central,POS,0
448.84,1,44,46.8,0,0.51,2,Savings,Central,Online,0
212.43,1,61,7.9,0,0.65,0,Business,West,POS,0
33.0,22,20,3.76,0,0.29,2,Current,West,POS,0
116.08,6,72,15.01,0,0.32,4,Savings,East,ATM,0
191.06,5,19,8.36,0,0.39,1,Current,South,Online,0
17.43,0,21,4.32,0,0.27,1,Savings,West,POS,0
428.12,11,35,18.84,1,0.44,5,Current,South,Online,0
325.52,12,37,3.2,1,0.16,2,Savings,West,ATM,0
140.72,11,38,15.05,0,0.2,4,Savings,West,Online,0
683.02,18,31,8.45,0,0.04,2,Savings,Central,Mobile Banking,0
108.17,8,25,5.77,0,0.41,6,Current,Central,Mobile Banking,0
828.42,9,19,43.78,0,0.71,1,Business,Central,POS,1
220.48,16,43,5.88,0,0.51,2,Savings,West,ATM,0
201.39,17,36,6.4,0,0.53,2,Savings,South,ATM,0
36.29,7,59,30.68,1,0.45,3,Savings,West,POS,0
427.29,6,45,2.07,0,0.58,4,Savings,West,ATM,0
111.54,8,46,1.72,0,0.23,4,Current,Central,Online,0
35.4,9,22,4.98,0,0.21,2,Savings,South,Online,0
2.54,11,60,13.43,0,0.94,2,Current,West,Online,0
164.09,14,45,7.27,0,0.45,3,Current,South,POS,0
149.9,14,58,14.07,0,0.83,2,Savings,West,POS,0
254.13,3,65,2.61,0,0.92,2,Business,North,ATM,0
441.92,3,43,4.55,1,0.61,2,Savings,East,Online,0
16.55,22,22,12.49,0,0.3,3,Savings,West,POS,0
262.98,0,32,3.67,0,0.68,4,Savings,South,Online,0
41.51,11,63,8.24,0,0.43,1,Savings,Central,ATM,0
390.64,1,26,12.75,0,0.97,4,Savings,East,Online,0
341.92,14,49,54.54,0,0.81,3,Current,East,Online,1
155.65,16,69,1.25,0,0.81,5,Savings,North,Online,0
247.74,6,43,9.25,0,0.59,2,Savings,North,POS,0
75.48,5,54,7.57,0,0.01,3,Savings,West,POS,0
127.42,11,32,26.08,0,0.83,2,Current,East,POS,0
344.79,18,58,34.58,0,0.03,2,Savings,South,Mobile Banking,0
122.97,0,21,35.63,0,0.12,5,Savings,Central,POS,0
88.57,20,70,7.05,0,0.84,4,Current,East,POS,0
136.33,13,70,5.45,0,0.22,4,Savings,Central,POS,0
352.34,3,53,8.94,0,0.84,3,Current,West,POS,0
81.66,4,37,6.32,0,0.24,3,Savings,North,Mobile Banking,0
38.17,0,44,19.03,0,0.77,5,Current,North,Mobile Banking,0
248.97,0,38,3.6,0,0.54,3,Savings,Central,POS,0
349.71,20,39,16.12,0,0.67,2,Current,South,POS,0
21.21,5,24,39.26,0,0.84,4,Business,South,ATM,1
54.85,4,64,4.93,0,0.98,6,Current,West,Online,0
30.62,1,71,16.95,0,0.09,0,Savings,West,Online,0
85.52,20,48,2.32,0,0.69,2,Savings,South,Online,0
119.7,4,34,1.94,0,0.96,4,Savings,West,Online,0
276.32,8,67,1.84,0,0.37,4,Savings,Central,Online,0
210.62,18,24,2.24,0,0.33,2,Savings,Central,ATM,0
194.01,20,36,3.65,0,0.68,4,Savings,East,POS,0
86.89,14,45,12.41,0,0.4,1,Current,North,Online,0
368.33,12,27,21.85,0,0.21,2,Savings,South,Mobile Banking,0
127.46,11,44,2.03,0,0.16,3,Savings,Central,Online,0
773.65,4,30,30.61,0,0.19,1,Savings,East,POS,0
201.1,1,19,27.75,0,0.7,2,Business,South,Online,0
27.0,3,39,19.5,0,0.92,2,Savings,East,ATM,0
225.51,17,37,8.33,1,0.81,1,Business,South,Mobile Banking,1
78.64,20,60,0.02,0,0.45,5,Savings,West,Mobile Banking,0
231.88,9,22,19.91,0,0.53,5,Current,North,POS,0
14.44,12,23,31.68,0,0.62,5,Savings,South,Online,0
38.45,11,52,6.13,1,0.58,5,Current,Central,Online,0
387.22,1,18,18.99,0,0.97,2,Savings,West,Mobile Banking,0
51.54,14,52,0.96,1,0.89,3,Savings,East,Mobile Banking,0
362.85,13,20,18.54,0,0.04,5,Savings,South,Online,0
65.5,9,71,1.06,0,0.84,2,Savings,West,Online,0
205.94,21,53,13.27,0,0.11,2,Savings,South,ATM,0
236.93,7,24,13.65,0,0.69,3,Current,West,Online,0
143.76,14,46,5.4,0,0.29,6,Savings,East,Online,0
72.86,12,32,1.24,0,0.77,1,Savings,South,Online,0
47.82,7,28,44.74,0,0.01,2,Business,Central,Online,1
6.75,20,35,11.5,0,0.38,4,Savings,East,Online,0
72.47,20,61,13.0,0,0.02,2,Current,West,ATM,0
211.78,21,21,14.32,0,0.95,3,Savings,Central,Online,0
557.11,13,41,33.25,0,0.02,4,Current,South,POS,0
409.91,0,28,0.93,0,0.16,1,Current,Central,POS,0
290.54,12,23,33.56,0,0.54,3,Savings,East,Mobile Banking,0
310.66,7,68,4.11,1,0.65,5,Savings,South,Online,0
218.72,17,35,1.22,0,0.73,2,Current,South,POS,0
60.3,21,32,16.06,0,0.25,8,Savings,Central,ATM,0
475.45,8,20,56.57,0,0.3,3,Current,South,Online,0
222.18,12,34,0.88,0,0.24,4,Current,East,POS,0
164.4,2,50,8.33,0,0.24,6,Current,Central,Online,0
23.53,17,51,11.32,0,0.78,2,Savings,North,POS,0
118.5,9,47,4.36,0,0.95,2,Current,Central,Online,0
123.37,4,36,61.01,0,0.6,4,Current,North,Online,0
399.85,5,26,15.36,0,0.16,2,Savings,South,POS,0
158.22,7,57,27.9,1,0.07,3,Current,North,POS,0
95.74,23,61,8.06,0,0.24,5,Current,West,Online,0
752.72,6,48,6.55,0,0.18,1,Savings,West,POS,0
23.47,20,44,12.08,0,0.58,2,Savings,Central,Online,0
109.83,17,64,8.57,0,0.7,3,Business,West,Mobile Banking,0
8.59,13,42,18.83,0,0.0,1,Savings,West,POS,0
269.34,14,72,4.63,0,0.44,6,Current,North,Online,0
500.39,9,24,8.96,0,0.62,4,Current,South,Online,0
65.71,20,70,33.83,0,0.19,3,Business,North,POS,0
390.87,11,65,21.17,0,0.9,2,Savings,Central,Mobile Banking,0
69.12,6,24,2.76,0,0.55,5,Savings,Central,POS,0
483.31,6,37,32.69,1,0.35,4,Savings,South,Mobile Banking,0
280.45,10,70,13.34,0,0.02,2,Business,East,POS,0
326.86,12,61,17.06,0,0.48,2,Current,East,ATM,0
3.63,14,66,5.23,0,0.34,4,Savings,West,POS,0
658.34,17,60,8.74,0,0.97,2,Savings,North,POS,0
259.42,6,53,24.66,0,0.38,2,Business,South,POS,0
72.7,5,36,6.02,0,0.92,1,Savings,West,POS,0
353.68,22,19,2.71,0,0.69,1,Current,Central,POS,0
66.12,10,51,7.13,0,0.07,7,Savings,Central,ATM,0
412.33,7,73,1.08,1,0.93,5,Current,South,Mobile Banking,0
23.89,19,34,18.98,0,0.17,1,Savings,East,POS,0
243.27,0,41,2.4,1,0.45,4,Savings,Central,Online,0
155.61,7,26,5.03,0,0.92,2,Current,West,POS,0
20.3,7,71,31.94,0,0.83,1,Savings,Central,ATM,0
55.39,18,18,11.66,0,0.49,2,Savings,East,POS,0
2.5,2,59,5.81,0,0.21,4,Savings,South,Online,0
126.51,4,45,11.9,0,0.51,0,Savings,West,Online,0
71.7,2,72,3.69,0,0.55,3,Savings,East,Online,0
182.44,14,32,0.38,0,1.0,8,Current,South,ATM,0
70.55,13,38,13.88,0,0.82,0,Current,Central,ATM,0
71.31,20,32,18.78,0,0.86,2,Current,Central,Online,0
271.89,14,74,31.78,0,0.99,2,Current,West,Online,1
9.87,23,40,22.17,1,0.52,0,Current,Central,Mobile Banking,0
466.39,16,70,39.19,0,0.59,2,Savings,East,ATM,0
382.47,17,19,63.98,1,0.45,1,Savings,South,POS,0
220.41,1,63,20.49,1,0.13,3,Savings,North,Mobile Banking,0
179.9,11,53,30.37,0,0.53,4,Savings,North,Mobile Banking,0
445.69,15,67,16.8,0,0.58,4,Savings,South,Mobile Banking,0
40.99,3,26,2.81,0,0.24,4,Current,South,Online,0
16.45,1,19,3.01,0,0.78,2,Savings,West,POS,0
54.76,13,19,1.75,0,0.12,2,Savings,North,POS,0
316.54,10,35,42.96,0,0.5,4,Savings,East,ATM,0
7.06,12,34,16.76,0,0.66,1,Current,East,Online,0
174.84,6,58,23.4,0,0.05,4,Savings,Central,Online,0
1077.98,9,25,6.03,0,0.8,2,Current,North,Online,1
387.17,23,51,9.25,0,0.3,3,Savings,West,ATM,0
147.4,0,51,0.61,0,0.72,4,Savings,North,POS,0
13.15,20,22,32.97,1,0.11,3,Current,North,POS,0
356.01,3,61,28.76,0,0.62,1,Current,Central,ATM,0
182.75,17,46,23.04,0,0.56,1,Savings,West,POS,0
24.42,5,45,0.9,0,0.15,3,Savings,West,Mobile Banking,0
19.71,1,33,2.87,0,0.62,8,Savings,North,Online,0
480.76,2,31,6.1,0,0.69,3,Savings,Central,POS,0
221.25,13,69,4.58,0,0.5,2,Business,North,Online,0
353.55,7,19,27.35,0,0.58,7,Savings,South,ATM,0
422.36,15,73,3.25,0,0.89,1,Savings,West,POS,0
169.62,18,57,11.39,0,0.7,4,Current,East,Mobile Banking,0
145.73,17,21,12.71,0,0.91,1,Business,North,Online,1
112.57,5,69,8.3,0,0.55,6,Savings,North,Online,0
76.24,13,58,4.13,0,0.17,3,Savings,West,POS,0
114.04,2,69,48.39,0,0.25,7,Savings,East,Online,0
297.34,15,48,8.0,0,0.18,7,Current,South,POS,0
184.22,0,43,19.49,0,0.34,2,Savings,South,ATM,0
446.1,11,44,3.05,0,0.48,3,Current,East,Online,0
117.17,13,74,25.96,0,0.26,1,Savings,South,Online,0
186.83,18,68,3.65,0,0.48,2,Savings,South,POS,0
199.56,21,51,16.87,0,0.36,5,Current,Central,POS,0
179.15,18,48,10.59,0,0.56,0,Current,West,POS,0
242.56,8,65,2.38,0,0.43,3,Current,South,POS,0
54.21,6,28,0.38,0,0.43,4,Savings,East,POS,0
143.64,13,25,40.05,0,0.49,3,Savings,Central,Online,0
22.01,4,29,2.01,0,0.99,3,Savings,North,Online,0
97.07,17,52,18.31,1,0.56,0,Business,West,POS,0
133.76,8,62,15.86,0,0.72,1,Savings,Central,ATM,0
211.24,20,51,6.27,0,0.42,5,Savings,South,Mobile Banking,0
601.28,6,30,3.08,1,0.33,1,Savings,South,Online,0
183.58,8,44,2.95,0,0.92,1,Savings,East,POS,0
272.2,3,25,13.2,0,0.74,3,Savings,North,Online,0
141.15,16,64,11.88,0,0.58,2,Savings,East,Online,0
201.08,11,73,31.3,0,0.34,2,Savings,South,Online,0
14.71,5,38,15.32,0,0.26,4,Current,North,POS,0
58.71,17,58,25.66,0,0.25,3,Savings,South,POS,0
89.84,7,28,0.49,0,0.5,5,Savings,East,Mobile Banking,0
127.92,20,39,16.68,0,0.87,3,Current,West,ATM,0
9.34,14,38,3.99,0,0.88,2,Savings,East,Online,0
30.17,2,45,4.37,0,0.74,1,Savings,Central,ATM,0
64.82,1,20,19.13,0,0.54,5,Savings,West,POS,0
711.8,23,24,23.66,0,0.23,5,Current,West,ATM,0
80.5,22,31,6.97,1,0.48,5,Savings,West,POS,0
131.57,8,32,23.42,0,0.69,4,Savings,East,Online,0
43.66,7,26,8.8,0,0.6,3,Savings,West,Online,0
188.72,3,69,29.24,0,0.51,0,Savings,North,Online,0
65.89,1,60,0.38,0,0.43,1,Savings,Central,Online,0
46.38,13,24,1.31,0,0.75,2,Current,East,POS,0
145.37,1,29,22.47,0,0.84,5,Current,East,POS,0
1.1,1,36,14.68,0,0.72,0,Savings,East,POS,0
1.54,21,44,12.28,1,0.94,2,Savings,North,POS,0
49.45,6,35,14.28,0,0.78,1,Current,South,Mobile Banking,0
7.48,11,30,39.93,0,0.45,2,Savings,North,Online,0
22.86,5,60,15.99,0,0.62,2,Savings,South,Online,0
82.76,17,18,15.64,0,0.5,2,Savings,West,Online,0
324.49,3,55,21.37,0,0.55,3,Current,North,POS,0
169.75,18,38,30.22,0,0.9,3,Business,West,ATM,1
143.76,12,51,4.56,0,0.3,0,Savings,West,POS,0
69.48,19,30,14.39,0,0.01,4,Savings,East,Online,0
536.93,20,62,13.16,0,0.7,2,Savings,West,POS,0
101.17,22,68,2.17,0,0.18,2,Current,West,Online,0
18.22,1,58,11.02,0,0.15,4,Savings,West,Online,0
191.98,7,68,1.08,0,0.99,2,Current,North,Online,0
24.17,18,40,3.07,0,0.27,1,Current,Central,POS,0
84.69,8,18,36.62,0,0.2,3,Savings,West,Online,0
141.62,3,40,1.9,0,0.19,1,Savings,Central,POS,0
414.65,15,74,12.97,0,0.41,5,Current,West,ATM,0
136.06,18,45,5.86,0,0.41,4,Current,Central,Mobile Banking,0
242.31,9,49,12.16,1,0.63,2,Savings,North,POS,0
987.2,5,25,4.02,0,0.1,2,Savings,East,Online,0
28.2,15,72,8.82,0,0.64,3,Business,South,POS,0
64.24,9,43,30.3,0,0.45,1,Current,Central,POS,0
100.37,12,31,7.08,1,0.21,5,Savings,Central,Online,0
109.58,8,41,6.53,0,0.78,1,Current,West,POS,0
105.87,6,65,8.86,0,0.47,5,Savings,West,Online,0
476.35,3,46,1.59,0,0.72,3,Current,South,POS,0
250.38,18,21,7.35,0,0.92,3,Savings,Central,Online,0
187.25,3,35,0.1,0,0.35,8,Business,West,ATM,0
74.03,18,31,10.5,0,0.9,0,Savings,East,Online,0
347.22,18,44,28.25,1,0.2,4,Savings,West,ATM,0
620.49,11,58,12.05,0,0.22,1,Current,West,Online,0
344.3,12,64,14.04,0,0.66,1,Savings,West,ATM,0
0.31,3,20,0.47,0,0.1,2,Savings,North,Mobile Banking,0
202.34,9,47,29.44,0,0.45,3,Savings,Central,POS,0
10.5,20,53,7.29,0,0.21,1,Current,Central,Mobile Banking,0
59.58,6,40,55.25,0,0.57,2,Savings,East,Online,0
12.27,4,35,1.93,0,0.81,1,Savings,East,Online,0
185.16,16,63,43.42,0,0.04,5,Current,East,Online,0
232.05,17,64,15.09,0,0.41,2,Current,West,Mobile Banking,0
24.32,10,57,0.81,0,0.73,2,Savings,West,Online,0
96.85,14,27,53.47,0,0.34,3,Current,East,Online,0
121.85,20,73,0.21,0,0.04,3,Savings,Central,Online,0
92.11,21,29,19.68,0,0.59,5,Current,South,POS,0
25.8,6,70,33.05,0,0.12,2,Business,Central,Online,1
108.58,17,58,2.9,1,0.37,3,Savings,West,POS,0
278.2,5,25,6.31,0,0.99,2,Savings,East,POS,0
14.73,17,49,12.36,0,0.4,2,Current,North,POS,0
16.72,15,34,17.08,0,0.84,5,Savings,East,POS,0
87.63,1,58,30.82,0,0.86,2,Savings,West,Online,1
568.52,18,62,21.47,0,0.26,1,Savings,South,Online,0
220.87,0,31,6.77,1,0.6,4,Savings,East,Online,0
227.06,10,54,25.87,0,0.95,1,Savings,Central,Online,0
89.86,19,26,50.75,0,0.61,5,Current,West,Online,0
180.11,4,74,3.86,0,0.81,1,Savings,North,POS,0
2.04,15,43,1.15,0,0.46,2,Savings,West,Mobile Banking,0
202.17,22,65,8.34,0,0.72,3,Savings,East,ATM,0
489.03,0,68,31.98,0,0.02,5,Current,North,Mobile Banking,0
189.65,18,41,2.44,0,0.79,2,Savings,Central,Online,0
413.82,13,40,32.55,1,0.67,2,Current,East,Online,1
257.45,2,48,72.83,0,0.36,4,Savings,West,Online,0
25.69,1,56,0.83,0,0.42,3,Savings,Central,Mobile Banking,0
465.48,23,61,10.26,0,0.33,2,Current,South,POS,0
13.75,4,19,5.98,0,0.52,3,Savings,South,ATM,0
152.7,16,67,7.51,0,0.11,3,Current,South,ATM,0
30.66,17,35,9.01,0,0.84,4,Savings,Central,Mobile Banking,0
2.36,0,33,20.19,0,0.48,6,Current,South,Online,0
109.65,14,46,13.42,0,0.04,2,Current,North,POS,0
69.92,21,28,48.74,0,0.55,2,Savings,Central,POS,0
133.11,8,19,6.07,0,0.93,1,Savings,North,POS,0
172.17,22,31,11.7,0,0.09,5,Current,East,Mobile Banking,0
8.94,4,21,25.18,0,0.12,2,Current,South,Mobile Banking,0
26.25,12,56,7.0,0,0.39,4,Savings,West,Online,0
163.58,18,51,9.39,1,0.74,3,Savings,North,Online,0
84.07,23,70,17.33,0,0.6,5,Business,South,ATM,0
261.26,9,63,29.57,0,0.46,0,Savings,South,POS,0
211.28,19,56,8.06,0,0.99,5,Savings,East,Mobile Banking,0
373.65,20,26,11.39,0,0.19,2,Current,North,ATM,0
235.85,13,57,55.41,0,0.82,4,Savings,West,Online,1
112.4,21,58,0.65,0,0.12,1,Current,North,POS,0
223.54,20,24,8.92,0,0.18,3,Savings,West,Mobile Banking,0
64.42,11,68,15.16,0,0.3,2,Savings,North,ATM,0
73.15,10,34,0.13,0,0.87,2,Savings,Central,POS,0
311.17,22,40,13.62,0,0.44,3,Savings,South,Online,0
118.27,6,62,0.87,0,0.4,1,Savings,East,Online,0
320.27,16,28,29.23,1,0.49,1,Savings,Central,Online,0
345.67,17,39,24.68,0,0.63,3,Current,North,POS,0
389.77,6,35,0.49,0,0.42,5,Savings,Central,ATM,0
496.91,23,66,0.75,0,0.96,0,Savings,East,Online,0
112.77,19,45,21.01,0,0.14,8,Savings,West,POS,0
76.8,5,33,6.92,0,0.48,1,Savings,Central,Online,0
174.55,10,59,12.84,0,0.42,1,Current,North,POS,0
92.78,11,21,4.73,0,0.69,3,Savings,North,POS,0
183.8,15,53,2.85,0,0.96,6,Savings,South,Mobile Banking,0
244.55,18,39,5.27,0,0.29,5,Current,Central,Mobile Banking,0
233.21,22,28,4.25,0,0.96,5,Savings,West,Online,0
93.86,18,38,8.92,0,0.83,2,Business,North,Online,1
36.51,10,74,20.6,1,0.81,0,Business,South,POS,1
112.61,15,57,12.12,0,0.07,2,Savings,Central,Online,0
30.77,22,58,14.09,1,0.94,3,Current,East,POS,0
441.63,11,33,9.53,0,0.84,4,Savings,Central,POS,0
84.89,7,59,5.89,0,0.68,4,Savings,South,POS,0
33.56,2,72,2.32,0,0.13,4,Savings,North,ATM,0
5.16,1,26,6.57,0,0.42,2,Current,East,Online,0
207.59,5,52,16.41,0,0.84,4,Savings,North,Online,0
202.62,15,74,19.85,0,0.44,4,Business,West,Online,0
83.29,19,51,9.5,0,0.44,2,Savings,South,POS,0
14.88,23,26,15.53,0,0.27,5,Savings,Central,Mobile Banking,0
105.4,14,30,3.55,0,0.05,4,Current,West,Mobile Banking,0
74.57,13,23,29.5,0,0.51,5,Savings,West,POS,0
